TYPE,15000,80000,300000,1000000,2000000,6000000,20000000,60000000,100000000,200000000,Over
Manufacturing (Factories),0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Retail,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Agriculture,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Energy,0,0,0,200000,1000000,2000000,3000000,5000000,5000000,5000000,5000000
Finance,0,0,0,200000,1000000,2000000,3000000,5000000,5000000,5000000,5000000
Real State,0,0,0,200000,1000000,2000000,3000000,5000000,5000000,5000000,5000000
Insurance,0,0,0,200000,1000000,2000000,3000000,5000000,5000000,5000000,5000000
Accounting or tax related,0,0,0,200000,1000000,2000000,3000000,5000000,5000000,5000000,5000000
Veterinary or petcare,0,0,0,200000,1000000,2000000,3000000,5000000,5000000,5000000,5000000
Healthcare,0,0,0,200000,1000000,2000000,3000000,5000000,5000000,5000000,5000000
Transportation,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Construction,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Oil & Gas,0,0,0,200000,1000000,2000000,3000000,5000000,5000000,5000000,5000000
Sewage,0,0,0,200000,1000000,2000000,3000000,5000000,5000000,5000000,5000000
Military,0,0,0,200000,1000000,2000000,3000000,5000000,5000000,5000000,5000000
Tourism,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Architecture,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Maintenance,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Media,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Educational Services,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Tourism,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
NGOs (Social Organizations) / ONG (Non - profit organizations),0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Government related entities,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Entertainment Services,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Notaries,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Tourism,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Technology Services,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Auditory,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Consulting,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Law firms,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
Security Services,0,0,0,200000,500000,1000000,1500000,3000000,3000000,3000000,3000000
