TYPE,15000,80000,300000,1000000,2000000,6000000,20000000,60000000,100000000,200000000,Over
Manufacturing (Factories),0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Retail,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Agriculture,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Energy,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Finance,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Real State,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Insurance,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Accounting or tax related,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Veterinary or petcare,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Healthcare,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Transportation,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Construction,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Oil & Gas,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Sewage,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Military,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Tourism,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Architecture,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Maintenance,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Media,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Educational Services,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Tourism,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
NGOs (Social Organizations) / ONG (Non - profit organizations),0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Government related entities,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Entertainment Services,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Notaries,0,0,0,0,0,0,0,0,0,0,0
Tourism,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Technology Services,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Auditory,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Consulting,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Law firms,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
Security Services,0,0,30000,60000,100000,300000,1000000,3000000,0,0,0
