TYPE,1M,5M,15M,50M,100M,300M,1B, Over 1B
Manufacturing (Factories),500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Retail,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Agriculture,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Energy,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Finance,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Real State,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Insurance,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Accounting or tax related,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Veterinary or petcare,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Healthcare,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Transportation,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Construction,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Oil & Gas,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Sewage,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Military,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Tourism,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Architecture,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Maintenance,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Media,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Educational Services,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Tourism,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
NGOs (Social Organizations) / ONG (Non - profit organizations),500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Government related entities,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Entertainment Services,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Notaries,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Tourism,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Technology Services,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Auditory,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Consulting,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Law firms,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
Security Services,500000,1200000,3000000,10000000,10000000,15000000,15000000,15000000
