,TYPE,1M,5M,15M,50M,100M,300M,1B, Over 1B
0,Manufacturing (Factories),500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
1,Retail,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
2,Agriculture,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
3,Energy,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
4,Finance,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
5,Real State,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
6,Insurance,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
7,Accounting or tax related,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
8,Veterinary or petcare,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
9,Healthcare,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
10,Transportation,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
11,Construction,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
12,Oil & Gas,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
13,Sewage,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
14,Military,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
15,Tourism,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
16,Architecture,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
17,Maintenance,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
18,Media,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
19,Educational Services,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
20,Tourism,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
21,NGOs (Social Organizations) / ONG (Non - profit organizations),200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
22,Government related entities,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
23,Entertainment Services,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
24,Notaries,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
25,Tourism,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
26,Technology Services,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
27,Auditory,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
28,Consulting,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
29,Law firms,500000,700000,1200000,3500000,3500000,5000000,7000000,8000000
30,Security Services,200000,500000,1000000,3000000,3000000,4000000,6000000,7000000
